Time,X_id,X_position,Fork_num,HumanDecidedDirection,RobotDecidedDirection,DecidedDirection,ErrP
1355.904,22,"[14.388649466751964, -7.756808044464982, 3.179752287471517]",4,"[0, 0, 1, 0]","[0, 0, 0, 1]","[0, 0, 1, 0]",0
1385.0700000000002,22,"[14.388649466751964, -7.756808044464982, 3.179752287471517]",4,"[0, 0, 1, 0]","[1, 0, 0, 0]","[0, 0, 1, 0]",0
1408.304,21,"[18.236122586864273, -7.904790860057392, 3.0910916557558936]",3,"[0, 0, 1, 0]","[1, 0, 0, 0]","[0, 0, 1, 0]",0
1442.3100000000002,25,"[21.774465213962873, -11.243364584724779, 0.01912208048230605]",3,"[1, 0, 0, 0]","[0, 0, 0, 1]","[1, 0, 0, 0]",0
1475.736,25,"[21.774465213962873, -11.243364584724779, 0.01912208048230605]",3,"[0, 0, 1, 0]","[1, 0, 0, 0]","[0, 0, 1, 0]",0
1506.631,25,"[21.774465213962873, -11.243364584724779, 0.01912208048230605]",3,"[0, 0, 1, 0]","[0, 0, 0, 1]","[0, 0, 1, 0]",0
1542.303,21,"[18.236122586864273, -7.904790860057392, 3.0910916557558936]",3,"[0, 0, 1, 0]","[0, 0, 0, 1]","[0, 0, 1, 0]",0
1582.51,20,"[25.708256401835566, -7.850949823388147, 4.848597733157996]",3,"[0, 0, 1, 0]","[0, 0, 0, 1]","[0, 0, 1, 0]",0
1619.5220000000002,20,"[25.708256401835566, -7.850949823388147, 4.848597733157996]",3,"[1, 0, 0, 0]","[0, 1, 0, 0]","[1, 0, 0, 0]",0
1655.236,21,"[18.236122586864273, -7.904790860057392, 3.0910916557558936]",3,"[1, 0, 0, 0]","[0, 0, 0, 1]","[1, 0, 0, 0]",0
1677.029,22,"[14.388649466751964, -7.756808044464982, 3.179752287471517]",4,"[0, 0, 1, 0]","[1, 0, 0, 0]","[0, 0, 1, 0]",0
1698.892,23,"[13.935181105892767, -3.7745401807271057, 1.6622424308078791]",4,"[0, 0, 1, 0]","[0, 0, 0, 1]","[0, 0, 1, 0]",0
1731.191,23,"[13.935181105892767, -3.7745401807271057, 1.6622424308078791]",4,"[0, 0, 1, 0]","[0, 0, 0, 1]","[0, 0, 1, 0]",0
1753.9650000000001,24,"[13.858805314095154, 0.0485032304895272, 2.485738116217183]",3,"[0, 0, 1, 0]","[1, 0, 0, 0]","[0, 0, 1, 0]",0
1787.5970000000002,24,"[13.858805314095154, 0.0485032304895272, 2.485738116217183]",3,"[1, 0, 0, 0]","[0, 0, 0, 1]","[1, 0, 0, 0]",0
1821.8380000000002,24,"[13.858805314095154, 0.0485032304895272, 2.485738116217183]",3,"[0, 0, 1, 0]","[1, 0, 0, 0]","[0, 0, 1, 0]",0
1844.6550000000002,23,"[13.935181105892767, -3.7745401807271057, 1.6622424308078791]",4,"[0, 0, 1, 0]","[1, 0, 0, 0]","[0, 0, 1, 0]",0
1874.5690000000002,23,"[13.935181105892767, -3.7745401807271057, 1.6622424308078791]",4,"[0, 0, 1, 0]","[1, 0, 0, 0]","[0, 0, 1, 0]",0
